Company Name,Rest of the Details
MONSTER DISTRIBUTES,"['Distributor', '849 11th St, Ste 102, Santa Monica, CA 90404', '310-576-0820 (phone)', '310-576-0897 (fax)', 'Rear 51 Merrion Square, Dublin 2 Ireland', '+353-1-6114934 (phone)', '+353-1-6114935 (fax)', ' monsterentertainment.tv imdb.com/company/co0155799 linkedin.com/company/monster-distributes-ltd.', '\nDoes not accept any unsolicited material. Project types include short films and TV. Genres include animation and comedy. Established in 1996.']"
MONSTERFOOT PRODUCTIONS,"['Production company', '15260 Ventura Blvd Ste 1040, Sherman Oaks, CA 91403', '323-850-6116 (phone)', '323-378-5232 (fax)', 'imdb.com/company/co0275343 linkedin.com/company/monsterfoot-productions facebook.com/MonsterfootProductions twitter.com/MONSTERFOOTprod', 'Accepts query letters from unproduced, unrepresented writers. Project types include feature films and TV. Genres include non-fiction and reality. Established in 2006.', 'Ahmet Zappa', 'CEO', '323-850-6116', 'ahmetzappa.com imdb.com/name/nm0953257 linkedin.com/in/ahmetzappa twitter.com/AhmetZappa']"
MONTAGE,"['Production company and distributor', '4-10-18, Kami Kitazawa, Setagaya, Tokyo 156-0057, Japan', '03-3303-9871 (phone)', '03-3303-9824 (fax)', ' montage.co.jp/hp imdb.com/company/co0322014', 'Does not accept any unsolicited material. Project types include feature films. Genres include documentary.', 'Tokio Komatsubara Executive imdb.com/name/nm1233052']"
MONTAGE ENTERTAINMENT,"['Production company', '2600 Foothill Blvd Ste 201, La Crescenta, CA 91214', '818-248-0070 (phone)', '818-248-0071 (fax)', ' montageentertainment.com imdb.com/company/co0100820', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV.', 'Bill Ewart', 'Producer', '310-966-0222', ' imdb.com/name/nm0263867', 'David Peters', 'Producer', '310-966-0222', ' imdb.com/name/nm0007070']"
"MONTECITO PICTURE COMPANY, THE","['Production company', '1482 E Valley Rd, Ste 477, Montecito, CA 93108', '805-565-8590 (phone)', '805-565-1893 (fax)', '9465 Wilshire Blvd, Ste 920, Beverly Hills, CA 90212', '310-247-9880 (phone)', '310-247-9498 (fax)', 'montecitopicturecompany.com imdb.com/company/co0118469', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, family, fantasy, horror, reality, romance, science fiction, and thriller. Established in 2000.']"
MONTECITO PICTURES,"['Production company', '1482 E Valley Rd, Ste 477, Montecito, CA 93108', '805-565-8590 (phone)', '805-565-1893 (fax)', '\n9465 Wilshire Blvd, Ste 920, Beverly Hills, CA 90212', '310-247-9880 (phone)', '310-247-9498 (fax)', 'montecitopicturecompany.com imdb.com/company/co0118469', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, drama, family, non-fiction, thriller, and period. Established in 2000.', 'Joe Medjuck', 'Partner imdb.com/name/nm0575817', 'Tom Pollock', 'Partner imdb.com/name/nm0689696 Assistant: Krystee Morgan', 'Alex Plapinger', 'Executive Vice President of Production 310-247-9880', 'imdb.com/name/nm3292687 linkedin.com/pub/alex-plapinger/4/544/808', 'Ivan Reitman', 'Partner imdb.com/name/nm0718645 Assistant: Eric Reich']"
MOODY INDEPENDENT,"['Production company', '60 Tyler Ave, Medford, MA 02155', '857-472-2535 (phone)', '617-812-0442 (fax)', ' imdb.com/company/co0221094', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV. Genres include comedy, drama, romance, and thriller. Established in 2005.']"
MOOK PRODUCTIONS,"['Production company', '64 Marion Ave, New Providnce, NJ 07974 212-229-8019 (phone)', '845-357-3217 (fax)', ' imdb.com/company/co0167613', 'Does not accept any unsolicited material. Project types include short films. Genres include comedy.']"
MOONLITE FILMWERKS,"['Production company', '1307 Paige St, Houston, TX 77003', ' moonlitefilmwerks.com imdb.com/company/co0287283', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and short films. Genres include action, comedy, crime, drama, family, horror, romance, science fiction, and thriller. Established in 2011.']"
MOONSTONE ENTERTAINMENT,"['Sales agent', 'P.O. Box 1599, Studio City, CA 91614-0599 818-985-3003 (phone)', '818-985-3009 (fax)', ' moonstonefilms.com imdb.com/company/co0023327 facebook.com/MoonstoneEntertainment twitter.com/MoonstoneEnt', 'Does not accept any unsolicited material. Project types include feature films. Genres include action and comedy.', 'Yael Stroh', 'President  imdb.com/name/nm0834806', 'Shahar Stroh', 'Director Development & Acquisitions 818-985-3003', ' imdb.com/name/nm2325576', '\n1041 N Formosa Ave, Formosa Building 214, West Hollywood, CA 90064', 'imdb.com/company/co0379904', 'Accepts query letters from produced or represented writers. Project types include feature films, short films, and TV. Genres include comedy and documentary.', 'Established in 2012.']"
MORCAMAN PRODUCTIONS,"['Production company', '425 Maxwell, Irving, TX 75061', '469-231-2360', 'morcaman.com imdb.com/company/co0432865', 'Does not accept any unsolicited material. Project types include short films. Genres include animation.']"
MORENA FILMS,"['Production company, distributor, and sales agent 2321 LOMA VISTA ST., Pasadena, CA 91104', 'Fernando VI, 17-2, Madrid , Spain, 28004 011-349-17002780 (phone)', '011-349-13194432 (fax)', ' morenafilms.com imdb.com/company/co0080779', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, drama, family, and thriller.']"
MORGAN CREEK PRODUCTIONS,"['Production company', '10351 Santa Monica Blvd, Los Angeles, CA 90025 310-432-4848 (phone)', '310-432-4844 (fax)', 'morgancreek.com imdb.com/company/co0033472 linkedin.com/company/morgan-creek-productions facebook.com/morgancreekproductions']"
MOOSE PACK,"['Production company', '8 Lenox St, Worcester, MA 01602', '\ntwitter.com/Morgan', '\nCreek', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, crime, drama, and romance.', 'Andrew Moncrief', 'Creative Executive', 'linkedin.com/pub/andrew-moncrief/11/262/325']"
MORGAN CREEK PRODUCTIONS,"['Production company', '10351 Santa Monica Blvd Ste 200, Los Angeles, CA 90025', '310-432-4848 (phone)', '310-432-4844 (fax)', '10351 Santa Monica Blvd Ste 200, Los Angeles, CA 90025', '310-432-4848 (phone)', '310-432-4844 (fax)', 'morgancreek.com imdb.com/company/co0033472', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, animation, comedy, crime, detective, drama, family, fantasy, horror, non-fiction, myth, reality, romance, science fiction, sociocultural, thriller, period, and documentary.']"
MORNINGSTAR ENTERTAINMENT,"['Production company', '350 N Glenoaks Blvd Ste 300, Burbank, CA 91502', '818-559-7255 (phone)', '818-559-7551 (fax)', ' morningstarentertainment.com imdb.com/company/co0050956 linkedin.com/companies/morningstar-entertainment facebook.com/pages/Morningstar-Entertainment/', '91568286971', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include TV. Genres include non-fiction and reality. Established in 1980.', 'Gary Tarpinian', 'President', 'linkedin.com/pub/gary-tarpinian/33/3a/367', '\nMORRA, BREZNER, STEINBERG AND TENENBAUM ENTERTAINMENT (MBST)', 'Production company', '345 N Maple Dr Ste 200, Beverly Hills, CA 90210 310-385-1820 (phone)', '310-385-1834 (fax)', 'mbst.com imdb.com/company/co0057791', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, romance, and documentary. Established in 1994.']"
MORTON JANKEL ZANDER (MJZ),"['Production company', '45A BREWER STREET, LONDON, ENGLAND W1F 9UE', '44207-434-4000 (phone)', '44207-434-4000 (fax)', '40 WOOSTER STREET, NEW YORK, NEW YORK 10013', '646-613-1401 (phone)', '646-613-1404 (fax)', '2201 S Carmelina Ave, Los Angeles, CA 90064 310-826-6200 (phone)', '310-826-6219 (fax)', 'mjz.com imdb.com/company/co0102914 facebook.com/MJZ.MJZ twitter.com/MJZitter', 'Does not accept any unsolicited material. Project types include short films and commercials. Established in 1990.', 'David Zander', 'President imdb.com/name/nm1536307']"
MOSAIC,"['Production company', '9200 Sunset Blvd, Tenth Floor, Los Angeles , CA 90069', '310-786-4900 (phone)', '310-777-2108 (fax)', 'imdb.com/company/co0262627', 'Does not accept any unsolicited material. Project types include feature films, short films, and TV. Genres include comedy, drama, family, romance, and thriller.', 'Jimmy Miller', 'Principal (Manager/Producer) imdb.com/name/nm0588612']"
MOSAIC MEDIA GROUP,"['Production company', '9200 W Sunset Blvd 10th Fl, Los Angeles, CA 90069 310-786-4900 (phone)', '310-777-2185 (fax)', 'imdb.com/company/co0037759 linkedin.com/company/mosaic-media-group', 'Accepts query letters from unproduced, unrepresented writers. Project types include feature films and TV. Genres include action, comedy, drama, family, and myth.', 'Jimmy Miller', '310-786-4900', ' imdb.com/name/nm0588612 Assistant: Alyx Carr', 'Mike Falbo', '310-786-4900', ' imdb.com/name/nm3824648 Assistant: Mark Acomb', 'David Householter', '310-786-4900', ' imdb.com/name/nm0396720 Assistant: Brendan Clougherty']"
MOSHAG PRODUCTIONS,"['Production company', '1531 Wellesley Ave, Los Angeles, CA 90025 310-820-6760 (phone)', '310-820-6960 (fax)', ' imdb.com/company/co0061487', '\nAccepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV.', 'Mark Mower', 'Producer imdb.com/name/nm0610272']"
MOTORCYCLE BOY PRODUCTIONS,"['Production company', '2053 Cypress St, Vancouver, BC V6J 3M2, Canada 604-729-2436', ' motorcycleboyproductions.com imdb.com/company/co0420091', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include action, crime, drama, horror, and thriller. Established in 2014.']"
MOTTO PICTURES,"['Production company', '68 Jay St, Ste 319, Brooklyn, NY 11201', '718-923-1950', ' mottopictures.com imdb.com/company/co0301328', 'Does not accept any unsolicited material. Project types include feature films. Genres include crime, drama, family, and documentary.']"
MOTT STREET PICTURES,"['Production company', '234 Mott St, New York, NY 10012', '801 N Fairfax Ave, Ste 322, Los Angeles, CA 90046 310-279-9797', 'mottstreetpictures.com imdb.com/company/co0321036 facebook.com/Mott-Street-', 'Pictures-100705350016814', 'twitter.com/mottstreetpics', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include drama and fantasy.', 'Alex Sagalchik', 'Producer imdb.com/name/nm4215812']"
MOVIE CENTRAL,"['Production company and distributor', '25 Dockside Dr, Toronto, ON M5A 0B5, Canada 416-479-6784', ' moviecentral.ca imdb.com/company/co0263130 linkedin.com/company/movie-central facebook.com/moviecentral twitter.com/moviecentral', 'Does not accept any unsolicited material. Genres include thriller.']"
MOVIE-EYE ENTERTAINMENT,"['Distributor', '6-2-1-4F, Ginza, Chuo, Tokyo 104-0061, Japan', '+81 03-5537-0151 (phone)', '+81 03-5537-0152 (fax)', ' imdb.com/company/co0123420', 'Does not accept any unsolicited material. Project types include TV. Genres include drama.', 'Taku Ushiyama', 'Chief Operating Officer (Executive) imdb.com/name/nm2431376']"
"MOVIE MOGUL, INC.","['Production company', '9100 Wilshire Blvd, Ste 520E, Beverly Hills, California, 90210', '424-245-4331', 'mogul-inc.com imdb.com/company/co0382309', 'Does not accept any unsolicited material. Project types include feature films.', '\nDeborah Harpur', 'CEO', 'imdb.com/name/nm2970095']"
MOVIE PACKAGE COMPANY,"['Studio', '287 S Robertson Blvd, Ste 101, Beverly Hills, CA 90211', 'moviepackageco.com imdb.com/company/co0314488 twitter.com/moviepackageco', 'Does not accept any unsolicited material. Project types include feature films.', 'Ray Mansfield', 'Producer imdb.com/name/nm1796751', 'Shaun Redick', 'Producer imdb.com/name/nm2211720']"
MOVIE PACKAGE COMPANY (MPC),"['Production company', '9107 Wilshire Blvd, Ste 600, Beverly Hills, CA 90210', '310-395-3939', 'moviepackageco.com imdb.com/company/co0314488', 'Accepts query letters from produced or represented writers. Project types include feature films. Genres include action, comedy, crime, drama, and romance. Established in 2010.', 'Shaun Redick Partner (Executive) 310-395-3939', 'imdb.com/name/nm2211720']"
MOVIE PITCH PRO,"['Financing company Los Angeles, CA moviepitchpro.com', 'Does not accept any unsolicited material. Established in 2014.', 'MOVING PICTURES', 'Production company', '8447 Wilshire Blvd, Ste 212, Beverly Hills, CA 90212', '310-288-5464', 'imdb.com/company/co0254909', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include comedy and romance.', 'Peter Jaysen Head/Producer imdb.com/name/nm0419779']"
MOXIE PICTURES,"['Production company', '18 E 16th St 4th Floor, New York City, NY 10003 212-807-6901 (phone)', '212-807-1456 (fax)', '5890 W Jefferson Blvd, Los Angeles, CA 90016 310-857-1000 (phone)', '310-857-1004 (fax)', ' moxiepictures.com imdb.com/company/co0119462 linkedin.com/company/moxie-pictures facebook.com/moxiepictures twitter.com/MoxiePictures', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include comedy, drama, reality, romance, and documentary. Established in 2005.', 'Dan Levinson', 'President  imdb.com/name/nm1829495', 'linkedin.com/pub/dan-levinson/6/91b/1a5', 'Katie Connell', 'Head of Production ', 'Robert Fernandez', 'CEO', ' imdb.com/name/nm0273045', '\nMOZARK PRODUCTIONS', 'Production company', '4024 Radford Ave, Bldg. 5, Studio City, CA 91604', '818-655-5779 (phone)', '818-655-5129 (fax)', 'imdb.com/company/co0023587', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include comedy and drama.', 'Linda Bloodworth Thomason Writer/Producer/Director imdb.com/name/nm0089124']"
MPI MEDIA GROUP,"['Distributor and sales agent', '16101 S 108th Ave, Orland Park, IL 60467 800-777-2223', ' mpimedia.com imdb.com/company/co0028092 facebook.com/mpimediagrp twitter.com/mpimediagroup', 'Does not accept any unsolicited material. Project types include TV. Genres include comedy, drama, and horror.', 'Greg Newman', 'EVP', 'imdb.com/name/nm0628103', 'Malik Ali', 'Founder imdb.com/name/nm5307398']"
MPS DALLAS,"['Production company', '141 Regal Row, Dallas, TX 75247', '214-630-1655 (phone)', '214-630-1761 (fax)', 'mpsfilm.com imdb.com/company/co0088352 facebook.com/MPS.Studios twitter.com/MPSSTUDIOS', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include comedy, drama, family, horror, and thriller.', 'Established in 2003.']"
MRB PRODUCTIONS,"['Production company', '311 N Robertson Blvd, #513, Beverly HIlls, CA 90211', '323-965-8881', ' mrbproductions.com imdb.com/company/co0122884 linkedin.com/company/mrb-productions facebook.com/pages/MRB-Productions-Inc/', '113037758751306', 'twitter.com/MRBProductions1', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include comedy, crime, drama, romance, thriller, and documentary.', 'Established in 2006.', 'Luke Watson', 'Vice-President  imdb.com/name/nm2362830', 'linkedin.com/pub/luke-watson/15/60a/683', 'Astrid Downs', 'Executive Producer ', 'Brenda Bank', 'Producer  imdb.com/name/nm1870773 Assistant: Erica Weiss', 'Matthew Brady', 'Executive Producer  imdb.com/name/nm0103683']"
MR. MUDD,"['Production company and distributor', '137 N Larchmont Blvd, #113, Los Angeles, CA 9004', '323-932-5656 (phone)', '323-932-5666 (fax)', '\nmrmudd.com imdb.com/company/co0040322', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy, drama, family, and romance. Established in 1998.', 'Russell Smith', 'Producer imdb.com/name/nm0809833', 'linkedin.com/pub/russell-smith/2a/687/39', 'John Malkovich', 'imdb.com/name/nm0000518', 'Lianne Halfon', 'Producer imdb.com/name/nm0355147']"
MR. MUDD,"['Production company and distributor', '137 N Larchmont Box 113, Los Angeles, CA 90004', '323-932-5656 (phone)', '323-932-5666 (fax)', 'mrmudd.com imdb.com/company/co0040322', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, detective, drama, family, fantasy, and romance. Established in 2001.']"
M'S WORLD CORP.,"['Production company and distributor', '2-13-12-3F, Hamamatsucho, Minato, TOKYO 105-0013, Japan', '03-6430-9290 (phone)', '03-3432-6750 (fax)', ' imdb.com/company/co0282333', 'Does not accept any unsolicited material. Project types include feature films. Genres include action.']"
MTI HOME VIDEO,"['Production company and distributor', '14216 SW 136th St, Miami, FL 33186', '305-255-8684 (phone)', '305-233-6943 (fax)', ' mtivideo.com imdb.com/company/co0077442', 'Accepts scripts from produced or represented writers. Genres include comedy and drama.']"
MTP,"['Production company', '200 N 7th St, Brooklyn, NY 11249 imdb.com/company/co0426020', 'Does not accept any unsolicited material. Project types include feature films, short films, and TV. Genres include drama, fantasy, science fiction, thriller, and documentary.']"
MTV ANIMATION,"['Studio', '1515 Broadway, 25th Floor, New York , NY 10128 imdb.com/company/co0054176', 'Does not accept any unsolicited material.', 'Chris Lin', 'SVP of Production/Series Development imdb.com/name/nm4930153']"
MULLER ENTERTAINMENT,"['Production company', '6301 Riverside Dr, Soundstage Building One, Irving, TX 75039', '972-869-0700 (phone)', '972-869-7791 (fax)', ' mullerentertainment.com imdb.com/company/co0092222 linkedin.com/company/muller-entertainment facebook.com/Muller-Entertainment-177962416639', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films, short films, and TV. Genres include action, comedy,', '\ndrama, horror, romance, and science fiction. Established in 2003.']"
MULTI-VALENCE PRODUCTIONS,"['Production company', 'Santa Monica, CA 90403 424-789-3429', '2005 Palo Verde, Ste 200, Long Beach, CA 90815', '562-208-0476', ' imdb.com/company/co0315075', 'Accepts query letters from produced or represented writers. Project types include feature films. Genres include drama and fantasy.', 'Alexander Garcia Producer/Writer imdb.com/name/nm0305094']"
MULTIVISIONNAIRE PICTURES,"['Production company', '3080 W Valley Blvd, Ste B, Alhambra, CA 91803 626-737-8357 (phone)', '626-727-8642 (fax)', 'multivisionnaire.com facebook.com/MultiVisionnaire-', 'Pictures-146663175347473', 'Does not accept any unsolicited material. Project types include feature films.', 'Erika Kao-Haley Executive Producer imdb.com/name/nm2537107']"
MUN2 TELEVISION,"['Production company', '2470 W 8th Ave, Hialeah, FL 33010 305-884-8200', 'msnlatino.telemundo.com imdb.com/company/co0139459 facebook.com/Telemundo twitter.com/Telemundo', 'Does not accept any unsolicited material. Project types include short films and TV. Genres include comedy.', 'MURPHY BOYZ MANAGEMENT', 'Sales agent', '270 Sparta Ave, Ste 104, Sparta, NJ 07871', '973-702-9000 (phone)', '973-702-1550 (fax)', ' murphyboyz.com imdb.com/company/co0128885', 'Does not accept any unsolicited material. Project types include TV and commercials. Genres include drama and family.']"
MUSE DISTRIBUTION INTERNATIONAL,"['Production company and distributor', '5022 Ranchito Ave, Sherman Oaks, CA 91423 818-986-0040 (phone)', '818-986-0060 (fax)', '3451 St-Jacques West, Montreal, QC H4C 1H1, Canada', '514-866-6873 (phone)', '514-876-3911 (fax)', ' muse.ca', 'imdb.com/company/co0026632 facebook.com/museent twitter.com/MuseEntertains', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, drama, and thriller.']"
MUSE ENTERTAINMENT ENTERPRISES,"['Production company and distributor', 'Studio City, CA 818-358-3615', '3451 St Jacques, Montreal, QC H4C 1H1 514-866-6873 (phone)', '514-876-3911 (fax)', ' muse.ca', 'imdb.com/company/co0005803', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action,', '\nanimation, comedy, crime, detective, drama, family, fantasy, horror, non-fiction, myth, reality, romance, science fiction, sociocultural, thriller, period, and documentary.']"
MUSEFILM PRODUCTIONS,"['Production company and distributor', '15 Brooks Ave, Unit B, Venice , CA 90291 310-306-2001 (phone)', '310-574-2614 (fax)', 'musefilm.com imdb.com/company/co0019350', 'Does not accept any unsolicited material. Genres include action, comedy, crime, drama, family, romance, and thriller.']"
MUSE PRODUCTIONS,"['Production company', '15-B Brooks Ave, Venice, CA 90291 310-306-2001', 'musefilm.com imdb.com/company/co0019350 web.facebook.com/museproductions twitter.com/museproductions', 'Does not accept any unsolicited material. Project types include feature films. Genres include drama and thriller.']"
MUSHI PRODUCTIONS,"['Production company', '2-30-5, Fujimidai, Nerima, Tokyo 177-0034, Japan', '03-3990-4153 (phone)', '03-3990-4154 (fax)', ' mushi-pro.co.jp imdb.com/company/co0064052', 'Does not accept any unsolicited material. Project types include feature films, short films, TV, and video games. Genres include action and animation.', 'Satoshi Ito', 'Producer imdb.com/name/nm0411739', 'MUSIC BOX FILMS', 'Distributor', '173 N Morgan St, Chicago, IL, 60607 312-241-1320', ' musicboxfilms.com imdb.com/company/co0235025', 'Does not accept any unsolicited material. Project types include TV. Genres include comedy, drama, family, and reality.']"
MUTRESSA MOVIES,"['Production company', '125 Jefferson Av, # 111, Miami Beach, FL 33139', '232 Commonwealth Av, Boston, MA 02116', ' mutressamovies.com imdb.com/company/co0243819', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and short films. Genres include action, comedy, drama, and thriller. Established in 2008.']"
MUTUAL FILM COMPANY,"['Production company', '3535 Hayden Ave, Ste 340, Culver City, CA 90232', '310-558-9800 (phone)', '310-558-9890 (fax)', ' imdb.com/company/co0007500', 'Accepts query letters from produced or represented writers. Project types include feature films and TV. Genres include comedy, romance, and thriller.', 'Shelly Clippard', 'VP of Production & Development imdb.com/name/nm0166953', 'Gary Levinshohn Producer imdb.com/name/nm0506013']"
MXN,"['Studio', '\n1930 Curson Ave, Los Angeles, CA 90046 323-977-0377', 'imdb.com/company/co0237694', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV. Genres include comedy.', 'Mason Novick Producer/Manager imdb.com/name/nm1259504']"
MXN ENTERTAINMENT,"['Production company', 'Los Angeles, CA 323-977-0377', 'imdb.com/company/co0237694', 'Does not accept any unsolicited material. Project types include feature films, short films, TV, and commercials.']"
MY2CENTENCES,"['Production company', 'Beverly Hills, CA 90210 646-325-8928 (phone)', '310-388-4629 (fax)', ' imdb.com/company/co0077666', 'Does not accept any unsolicited material. Project types include feature films. Genres include drama.', 'Craig Singer', 'Partner imdb.com/name/nm0801916', 'Chris Williams', 'Partner imdb.com/name/nm0930282']"
MY PRODUCTIONS,"['Production company', '3005 S Lamar Blvd, Austin, TX 78704 512-784-1060', 'my-productions.com imdb.com/company/co0178889', 'Does not accept any unsolicited material. Project types include short films. Genres include comedy and family.']"
MYRIAD PICTURES,"['Production company, distributor, sales agent, and financing company', '11900 W Olympic Blvd Ste 400, Los Angeles, CA 90064', '310-279-4000 (phone)', '310-279-4001 (fax)', ' myriadpictures.com imdb.com/company/co0033226 linkedin.com/company/myriad-pictures facebook.com/MyriadPictures1 twitter.com/MyriadPictures', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, drama, family, fantasy, horror, non-fiction, romance, and thriller. Established in 1993.', ""Kirk D'Amico"", 'CEO', 'imdb.com/name/nm0195136 linkedin.com/pub/kirk-d-amico/10/bb2/180 twitter.com/kirkdamico']"
MYRIAD PICTURES,"['Production company, distributor, and sales agent', '11900 W Olympic Blvd Ste 400, Los Angeles, CA 90064', '310-279-4000 (phone)', '310-279-4001 (fax)', ' myriadpictures.com imdb.com/company/co0033226', 'Does not accept any unsolicited material. Project types include feature films, TV, and commercials. Genres include action, comedy, crime, detective, drama, family, and romance.']"
MYSTERE VISIONS ENTERTAINMENT,"['Production company', '\n2131 N Collins St, Ste 433-725, Arlington, TX 76011', '682-999-8366', ' mysterevisions.com imdb.com/company/co0375203 facebook.com/MysterEVE/info', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include drama, horror, science fiction, and thriller.', 'Eddie Brown, Jr. Owner/Producer 682-999-8366', 'imdb.com/name/nm2726815', 'Lien Mya Nguyen', 'Owner/Producer 682-999-8366', 'imdb.com/name/nm3168876']"
MYSTICARTS PICTURES,"['Studio', '3450 W Cahuenga Blvd Unit 101, Los Angeles, CA 90068', '1918 W Magnolia Blvd, Ste 206, Burbank, CA 91505', '818-563-4121 (phone)', '818-563-4318 (fax)', 'mysticartpictures.com imdb.com/company/co0053465 facebook.com/MysticArtPictures twitter.com/mysticart', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV. Genres include drama.', 'Katy Wallin CEO/President/Producer imdb.com/name/nm0002359']"
MYSTIC STUDIOS PRODUCTIONS,"['Production company', '4255 JohnsCreek Pkwy Ste B, Atlanta, GA 30024 404-663-5158', ' imdb.com/company/co0409328', 'Accepts query letters from unproduced, unrepresented writers via email.']"
MYTHIC FILMS,"['Production company', 'Rue Grand Bureau 11, Geneva CH-1227 Switzerland 225 E Broadway, Ste B115, Glendale, CA 91205', '323-660-9442', ' mythicfilms.com imdb.com/company/co0235454', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include drama and non-fiction. Established in 2000.', 'Ralph Hemecker Producer, Writer, Director imdb.com/name/nm0375973']"
MYTHOLOGY ENTERTAINMENT (II),"['Production company', '1041 N Formosa Ave, Writers Building Ste 11, West Hollywood, CA 90046', '323-850-3140', ' mythologyentertainment.com imdb.com/company/co0361762', 'Does not accept any unsolicited material. Project types include feature films.']"
NABU FILMS,"['Production company', 'Av. Ayuntamiento Sn, Tampico 89000, Mexico', '+52818-421-1158', '7125 Lennox Ave Int 156, Van Nuys, CA 91405', '818-646-0354', ' imdb.com/company/co0238576', 'Does not accept any unsolicited material.', '\nJessica Villegas', 'Producer imdb.com/name/nm3096521']"
NACH-ZACH VISION,"['Production company', 'Sofia-1582, bul Kopenhagen 23A, office 1.2A, Bulgaria', '+359-2-4422206', ' nach-zach.com imdb.com/company/co0437270', 'Does not accept any unsolicited material. Project types include feature films, short films, and TV. Genres include comedy and drama. Established in 2014.', 'Atanas Marinov Producer ']"
NAHB PRODUCTIONS,"['Production company', '1201 15th St NW, Washington, DC 20005 202-266-8100 (phone)', '202-266-8054 (fax)', ' nahbproductions.com imdb.com/company/co0142435', 'Does not accept any unsolicited material. Project types include TV. Genres include comedy, drama, romance, and thriller.']"
NAKED CITY FILMS,"['Production company Brooklyn, NY', ' imdb.com/company/co0383132', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include animation, drama, and documentary. Established in 2013.', 'NALA FILMS', 'Production company', 'Bosques De Alisos 47-B 5to Piso, Mexico City, D.F. 05120, Mexico', '52 55 5259-6373', '2016 Broadway Pl., Santa Monica, CA 90404 310-264-2555', ' nalafilms.com imdb.com/company/co0154622 facebook.com/NALAFilms twitter.com/nalafilms', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include drama and thriller.', 'Emilio Barroso', 'CEO', 'imdb.com/name/nm1950898']"
NAMASTE FILMS INC.,"['Production company', '301 Pruitt Rd Ste 1032, Spring, TX 77380', '323-395-0937 (phone)', '310-601-1804 (fax)', ' namastefilmproductions.com imdb.com/company/co0153873', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and short films. Genres include drama. Established in 2006.']"
NANCY TENENBAUM FILMS,"['Production company', '43 Lyons Plain Rd, Weston, CT 06883 203-221-6830 (phone)', '203-221-6832 (fax)', ' imdb.com/company/co0012648 linkedin.com/company/nancy-tenenbaum-films facebook.com/pages/Nancy-Tenenbaum-Films/', '159473827409156', '\nDoes not accept any unsolicited material. Project types include feature films. Genres include comedy.', 'Established in 1996.', 'Nancy Tenenbaum President imdb.com/name/nm085494 Assistant: Lyndsy Celestino']"
NAPOLI PICTURES,"['Production company', '1450 Brickell Ave Ste 1420, Miami, FL 33131', '786-200-4581 (phone)', '305-371-4642 (fax)', ' imdb.com/company/co0205933', 'Does not accept any unsolicited material. Project types include feature films. Genres include drama.']"
NASSER ENTERTAINMENT,"['Production company and distributor', '8180 Winston St, Burnaby, BC V5A 2H5, Canada 11350 Ventura Blvd Ste 101, Studio City, CA 91604', '818-505-8030', ' nasserentertainment.com imdb.com/company/co0007244', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, family, horror, romance, science fiction, and thriller. Established in 1997.']"
